number,name
01A-1-1,ハムラジオ大雪クラブ
01A-1-12,豊富アマチュア無線クラブ
01A-1-14,美深アマチュア無線クラブ
01A-4-13,稚内ハムクラブ
01A-4-15,ＱＲＺ　ＲＡＤＩＯ　ＣＬＵＢ
01B-1-1,美唄アマチュア無線クラブ
01B-1-3,日本アマチュア無線連盟深川クラブ
01B-1-4,三笠アマチュア無線クラブ
01B-1-5,留萌アマチュア無線クラブ
01B-1-6,砂川アマチュア無線クラブ
01B-1-7,たきかわアマチュア無線クラブ
01B-1-14,てしおハムクラブ
01B-1-22,新十津川アマチュア無線クラブ
01B-1-24,えんべつハムクラブ
01B-4-13,Ｔｅｓｈｉｏ　Ｒｉｖｅｒｓｉｄｅ　Ｃｌｕｂ
01B-4-14,ヤリキレナイ川アマチュア無線クラブ
01C-1-2,ＪＡＲＬ北見クラブ
01C-1-6,紋別ハムクラブ
01C-1-9,知床ハムクラブ
01D-1-1,小樽アマチュア無線クラブ
01D-1-3,えぞふじハムクラブ
01D-1-6,ＪＡＲＬ札幌アマチュア無線クラブ
01D-1-7,北広島ハムクラブ
01D-1-9,江別アマチュア無線クラブ
01D-1-11,石狩アマチュア無線クラブ
01D-2-2,北海道大学アマチュア無線クラブ
01D-2-17,札幌龍谷学園高校Robotics部
01D-3-14,ハムクラブ８ちとせ
01D-4-46,ノーザンホックス
01D-4-64,千歳アマチュア無線協会
01D-4-70,千歳市無線赤十字奉仕団
01E-1-1,十勝アマチュア無線クラブ
01E-1-7,狩勝アマチュア無線クラブ
01E-1-8,トカチ トップガン クラブ
01E-2-1,北海道帯広工業高等学校工業技術部情報通信技術班
01E-4-2,植村直己・帯広野外学校無線クラブ
01F-1-1,根室アマチュア無線クラブ
01F-1-3,北根室アマチュア無線クラブ
01F-1-6,釧路アマチュア無線クラブ
01F-1-8,知床の南あたりにあるアマチュア無線クラブ
01F-4-4,道東アワードハンターズグループ
01G-3-1,函館市役所アマチュア無線クラブ
01H-1-2,苫小牧アマチュア無線クラブ
01H-1-9,えりも町アマチュア無線クラブ
