id,大会名,年,rule_view,不足項目,公式規約URL,URL監査,監査メモ,participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat,表示内容の根拠,今回の修正,不明点
ai_chikyu,愛・地球博記念コンテスト,2026,9/9 明示登録,,https://www.tokai-jarl.jp/tkitest/regulation/21st-ai.html,登録済,現行rule_view 9項目が揃っており、今後の表示基準にできる / 呼出確認: 電話 CQ AIコンテスト（またはCQ 愛コンテスト）／電信 CQ AI TEST,日本国内の陸上で運用するアマチュア局およびSWL。,電話部門は20W以下（HF帯は10W以下）。QRP種目は5W以下。モリゾー＆キッコロ種目は20W以下（HF帯は10W以下）。,コンテスト中の運用場所変更は禁止。ただし、コンテスト参加の目的で常置場所を離れ移動運用するシングルオペに限り、運用開始時のマルチプライヤー内での場所変更を認める。移動運用局は運用場所を市区町村名まで明記する。,"電話：CQ AIコンテスト（またはCQ 愛コンテスト）
電信：CQ AI TEST",管外局同士の交信も有効な全国型コンテスト。,JARLコンテスト使用周波数帯、および1200MHz以上の各アマチュアバンド。1200MHz以上は総務省告示の「アマチュア業務に使用する電波の型式及び周波数の使用区別」による。,D-STARの交信はDVモード（デジタル音声通信）かつシンプレックス。モリゾー＆キッコロ種目は2波以上の電波の同時発射を禁止。運用場所変更の条件は「移動運用」欄を参照。,RS(T) + 自局の運用場所を示す都府県支庁ナンバー。,同一バンドの同一局は、電信・電話（FM/SSB等）・電話（D-STAR）の各区分でそれぞれ1交信まで得点可。,docs/contest-research/sources/ai_chikyuhaku_2026.html,なし,
all_akita,第40回オール秋田コンテスト,2026,9/9 明示登録,,,URL未登録,URL未登録。JARL秋田県支部公式2026規約あり / 呼出確認: 電信 県内 CQ AT TEST・県外 CQ ATG TEST／電話 CQオール秋田コンテスト,国内のアマチュア局・SWL。県内局は秋田県内で運用する局、県外局はそれ以外。8J7等の記念局での運用はチェックログ扱いです。,QRP種目は5W以下。その他の種目について、2026年規約に大会独自の一律出力上限は記載されていません。,移動は種目ごとのマルチプライヤーが変わらない範囲内で認められます。移動地はサマリーに記載します。上空・海上移動は不可。,"電信：県内局 CQ AT TEST／県外局 CQ ATG TEST
電話：CQ オール秋田コンテスト（県内局は自局コール送出時に「秋田県内局」と付ける）",県内局は県内を含む全国の局、県外局は秋田県内の局が交信相手です。,各バンドのJARLコンテスト使用周波数帯と総務省告示の使用区別に従います。種目別の対象バンドは公式規約の表を参照してください。,上空・海上移動とレピーター使用は不可。マルチオペは2人以上の運用（アシストも含む）。2種目提出には組合せ制限があります。,県内局：RS(T)＋秋田県内の市町村略号。県外局：RS(T)＋都府県・北海道地域等の番号。,同一局・同一バンドでも電信と電話はそれぞれ得点可。同一バンド・同一モードの重複交信は得点不可。,docs/contest-research/sources/all_akita_2026.pdf (利用者添付・公式規約),表示専用データ追加,2026公式URL未特定（保存済み利用者提供規約を使用）
all_aomori,第20回オール青森コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-aomori.sakura.ne.jp/contest/all-aomori/,登録済,呼出確認: 電話 CQ青森コンテスト／電信 県内 CQ AMA TEST・県外 CQ AM TEST,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_asian_dx_cw,ALL ASIAN DX CW,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.org/Japanese/1_Tanoshimo/1-1_Contest/aadx_rules.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_asian_dx_phone,ALL ASIAN DX Phone,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.org/Japanese/1_Tanoshimo/1-1_Contest/aadx_rules.html,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_chiba,オール千葉コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",http://jarl-chiba.info/2026test/2026info.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_gifu,第29回オール岐阜コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-gifu.up.seesaa.net/image/E7ACAC29E59B9EE382AAE383BCE383ABE5B290E9989CE382B3E383B3E38386E382B9E38388E383BBE8A68FE7B484.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_gunma,第54回オール群馬コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://agc.akagi76.com/wp-content/uploads/2026agcrule.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_hyogo,オール兵庫コンテスト,2026,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://www.jarl.com/hyogo/contest/contest2026/2026-ALL-HG_rule.pdf,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
all_ja0_160m,ALL JA0 1.8MHzコンテスト,2025,0/9 明示登録,"participants,power,movement,call_method,counterparts,frequency,restrictions,exchange,repeat",https://jarl-nn.asama-net.com/index.php?html_id=00000503,登録済,,,,,,,,,,,未照合（登録URLおよび保存資料の確認が必要）,なし,participants / power / movement / call_method / counterparts / frequency / restrictions / exchange / repeat
