順,大会ID,大会名,登録年度,登録規約URL,照合した規約URL・出典,保存資料,呼び出し方法,交信対象,大区分の出力制限,得点・デジタル・特別得点,留意点
17,all_tohoku,第75回オール東北コンテスト,2026,https://www.jarl.com/tohoku/7contest/2026JA7TEST.pdf,https://www.jarl.com/tohoku/7contest/2026JA7TEST.pdf,all_tohoku_2026.pdf,電話：CQ オール東北コンテスト／電信：CQ JA7 TEST,東北管内局：日本国内で運用する局。東北管外局：東北管内で運用する局。,電話部門は1.8～28MHz帯10W以下、50MHz帯以上20W以下。,各バンドで異なる局との完全な交信は1点。同一バンドの電信と電話はそれぞれ得点可。,
18,ai_chikyu,愛・地球博記念コンテスト,2026,https://www.tokai-jarl.jp/tkitest/regulation/21st-ai.html,https://www.tokai-jarl.jp/tkitest/regulation/21st-ai.html,ai_chikyuhaku_2026.html,"電話：CQ AIコンテスト（またはCQ 愛コンテスト）
電信：CQ AI TEST",日本国内の陸上で運用するアマチュア局。管外局同士の交信も有効。,電話部門は20W以下（HF帯は10W以下）。,完全な交信は1点。同一バンドでも電信、通常の電話、D-STARのDVはそれぞれ1交信ずつ有効。,
19,tokai_qso,第66回東海QSOコンテスト,2026,https://www.tokai-jarl.jp/tkitest/regulation/66th-tkiqso.html,https://www.tokai-jarl.jp/tkitest/regulation/66th-tkiqso.html,tokai_qso_66_2026.html,管内局：電信 CQ TEST、電話 CQコンテスト。管外局：電信 CQ TKI TEST、電話 CQ東海コンテスト。,管内局：国内の陸上局。管外局・SWL：2エリア内の陸上局に限ります。,大会全体・大区分の追加上限は確認されず,1.9MHz帯3点、3.5～21MHz帯1点、28MHz帯2点、50～430MHz帯1点、1200MHz帯3点、2400MHz帯5点、5600MHz帯10点、10.1GHz帯以上20点。D-STARのDVは指定の電話部門でシンプレックス交信。,
20,xpo,XPO記念コンテスト,2026,https://www.eonet.ne.jp/~ja3-test/kiyaku/xpokinen_2026kiyaku.htm,https://www.eonet.ne.jp/~ja3-test/kiyaku/xpokinen_2026kiyaku.htm,xpo_2026.html,"電信：CQ XPO TEST
電話：CQ XPOコンテスト",日本国内のアマチュア局同士の完全な交信。記念局（8J・8K・8N等）も一般局と同じ扱いです。,制限なし,完全な交信は1点。対象はCW、SSB、AM、FMで、DV・C4FMは電話部門に含みません。同一バンド内の重複は電波型式が違っても得点になりません。,
21,kansai_vus,関西V・U・Sコンテスト（旧・関西VHF）,2026,https://www.eonet.ne.jp/~ja3-test/kiyaku/ja3test_2026kiyaku.files/sheet001.htm,https://www.eonet.ne.jp/~ja3-test/kiyaku/ja3test_2026kiyaku.files/sheet001.htm,kansai_vus_2026.html,電信：CQ JA3 TEST／電話：CQ JA3コンテスト,管内局：日本国内の局。管外局：関西管内局に限ります。,大会全体・大区分の追加上限は確認されず,完全な交信は1点。管外局同士は得点になりません。対象モードはCW、SSB、AM、FMで、DV・C4FMは電話に含みません。,
22,okhotsk,第50回オホーツクコンテスト（最終回・2026）,2026,https://www.jarl.com/okhotsk/conte2026.pdf,https://www.jarl.com/okhotsk/conte2026.pdf,okhotsk_2026.pdf,電話：CQオホーツクコンテスト／電信：CQ OKH TEST,管内局：国内のアマチュア局。管外局：オホーツク総合振興局管内の局。,大会全体・大区分の追加上限は確認されず,管内局・管外局とも対象相手との完全な交信は1点。同一バンドでは電波型式が異なっても1交信のみ有効。,
23,all_mie_33,第49回オール三重33コンテスト,2026,https://www.ztv.ne.jp/isoda/33/annual/49/49rule.pdf,https://www.ztv.ne.jp/isoda/33/annual/49/49rule.pdf,mie33_49_2026.pdf,県内局・JL局：電信 CQ ME TEST／電話 CQ オール三重33コンテスト こちら県内局。県人局：電信 CQ MEJ TEST／電話は「こちら県人局」。県外局：電信 CQ MEX TEST／電話は「こちら県外局」。,県内局・JL局・県人局：海外を含む全アマチュア局。県外局：県内局・JL局・県人局。,大会全体・大区分の追加上限は確認されず,相手が県内局・JL局なら3点、県人局・県外局なら1点（県外局同士は無効）。自局と相手の区分別の得点早見表に従います。同一バンドではモードを変えても1交信のみ有効。,
24,kamikawa_souya,第10回上川宗谷支部コンテスト,2026,https://www.jarl.com/kamikawa/contest/2026KSContest.pdf,https://www.jarl.com/kamikawa/contest/2026KSContest.pdf,kamikawa_soya_2026.pdf,電話：管内局 CQ上川宗谷支部コンテスト、管外局 CQ上川宗谷支部コンテスト管外局。電信：管内局 CQ KS TEST、管外局 CQ KSX TEST。,国内のアマチュア局。管外局は管内局と2局以上交信する参加条件があります。,電話部門のすべての種目は50W以下。,国内局との完全な交信は1点。上川宗谷支部管内局との完全な交信は2点。,
25,kcwa_cw,第42回KCWA CWコンテスト,2025,https://kcwa.sakura.ne.jp/2025/contest42/20251207CONTEST.html,https://kcwa.sakura.ne.jp/2025/contest42/20251207CONTEST.html,kcwa_2025.html,電信：CQ KT TEST,日本国内で運用する個人アマチュア局との電信交信。,大会全体・大区分の追加上限は確認されず,完全な交信1点。ただし提出ログ相互の照合が成立した交信のみ得点となり、ログ未提出局との交信は無得点。2025年第42回の規約です。,
26,kyoto,第70回京都コンテスト,2026,https://je3zpz.ampr.org/kt_test/kt70-kiyaku.pdf,https://je3zpz.ampr.org/kt_test/kt70-kiyaku.pdf,kyoto_70.pdf,電話：CQ京都コンテスト（府外局は「こちらは府外局」を付加）。電信：府内局 CQ TEST、府外局 CQ KT TEST。,府内局：府内・府外局との交信。府外局：京都府内局との交信のみ得点対象。,大会全体・大区分の追加上限は確認されず,京都府内局は府内局との交信2点、府外局との交信1点。府外局・SWLは府内局1点、府外局0点。同一バンドの電信と電話は別々に得点可。,
